X,Y
-4.002739726,20.7
-4,17.9
-3.997260274,18.8
-3.994520548,14.6
-3.991780822,15.8
-3.989041096,15.8
-3.98630137,15.8
-3.983561644,17.4
-3.980821918,21.8
-3.978082192,20
-3.975342466,16.2
-3.97260274,13.3
-3.969863014,16.7
-3.967123288,21.5
-3.964383562,25
-3.961643836,20.7
-3.95890411,20.6
-3.956164384,24.8
-3.953424658,17.7
-3.950684932,15.5
-3.947945205,18.2
-3.945205479,12.1
-3.942465753,14.4
-3.939726027,16
-3.936986301,16.5
-3.934246575,18.7
-3.931506849,19.4
-3.928767123,17.2
-3.926027397,15.5
-3.923287671,15.1
-3.920547945,15.4
-3.917808219,15.3
-3.915068493,18.8
-3.912328767,21.9
-3.909589041,19.9
-3.906849315,16.6
-3.904109589,16.8
-3.901369863,14.6
-3.898630137,17.1
-3.895890411,25
-3.893150685,15
-3.890410959,13.7
-3.887671233,13.9
-3.884931507,18.3
-3.882191781,22
-3.879452055,22.1
-3.876712329,21.2
-3.873972603,18.4
-3.871232877,16.6
-3.868493151,16.1
-3.865753425,15.7
-3.863013699,16.6
-3.860273973,16.5
-3.857534247,14.4
-3.854794521,14.4
-3.852054795,18.5
-3.849315068,16.9
-3.846575342,17.5
-3.843835616,21.2
-3.84109589,17.8
-3.838356164,18.6
-3.835616438,17
-3.832876712,16
-3.830136986,13.3
-3.82739726,14.3
-3.824657534,11.4
-3.821917808,16.3
-3.819178082,16.1
-3.816438356,11.8
-3.81369863,12.2
-3.810958904,14.7
-3.808219178,11.8
-3.805479452,11.3
-3.802739726,10.6
-3.8,11.7
-3.797260274,14.2
-3.794520548,11.2
-3.791780822,16.9
-3.789041096,16.7
-3.78630137,8.1
-3.783561644,8
-3.780821918,8.8
-3.778082192,13.4
-3.775342466,10.9
-3.77260274,13.4
-3.769863014,11
-3.767123288,15
-3.764383562,15.7
-3.761643836,14.5
-3.75890411,15.8
-3.756164384,16.7
-3.753424658,16.8
-3.750684932,17.5
-3.747945205,17.1
-3.745205479,18.1
-3.742465753,16.6
-3.739726027,10
-3.736986301,14.9
-3.734246575,15.9
-3.731506849,13
-3.728767123,7.6
-3.726027397,11.5
-3.723287671,13.5
